File,Analysed_MS,Mutated,Score_pct,Status
'./RICKI-003T_S6_L001_sorted.res',19,16,84,'MSI'
'./RICKI-001T_S2_L001_sorted.res',20,17,85,'MSI'
'./RICKI-007T_S12_L001_sorted.res',25,21,84,'MSI'
'./RICKI-008T_S14_L001_sorted.res',17,14,82,'MSI'
'./RICKI-002T_S4_L001_sorted.res',28,0,0,'MSS'
'./RICKI-006T_S10_L001_sorted.res',28,18,64,'MSI'
'./RICKI-005T_S8_L001_sorted.res',20,19,95,'MSI'
'./RICKI-011T_S18_L001_sorted.res',28,24,85,'MSI'
'./RICKI-009T_S16_L001_sorted.res',22,17,77,'MSI'
'./RICKI-014T_S24_L001_sorted.res',33,27,81,'MSI'
'./RICKI-013T_S22_L001_sorted.res',20,17,85,'MSI'
'./RICKI-012T_S20_L001_sorted.res',30,26,86,'MSI'
'./RICKI-015T_S26_L001_sorted.res',20,18,90,'MSI'
'./RICKI-016T_S28_L001_sorted.res',31,25,80,'MSI'
'./RICKI-017T_S30_L001_sorted.res',18,0,0,'MSS'
'./RICKI-019T_S34_L001_sorted.res',29,26,89,'MSI'
'./RICKI-020T_S36_L001_sorted.res',17,16,94,'MSI'
'./RICKI-018T_S32_L001_sorted.res',31,21,67,'MSI'
'./RICKI-021T_S38_L001_sorted.res',16,14,87,'MSI'
'./RICKI-022T_S40_L001_sorted.res',21,17,80,'MSI'
'./RICKI-023T_S42_L001_sorted.res',20,19,95,'MSI'
'./RICKI-024T_S44_L001_sorted.res',5,0,0,'MSS'
'./RICKI-025T_S46_L001_sorted.res',29,25,86,'MSI'
'./RICKI-026T_S48_L001_sorted.res',12,10,83,'MSI'
'./RICKI-028T_S50_L001_sorted.res',28,21,75,'MSI'
'./RICKI-029T_S2_L001_sorted.res',25,5,20,'MSS'
'./RICKI-030T_S4_L001_sorted.res',44,39,88,'MSI'
'./RICKI-031T_S6_L001_sorted.res',42,36,85,'MSI'
'./RICKI-032T_S8_L001_sorted.res',46,42,91,'MSI'
'./RICKI-033T_S10_L001_sorted.res',52,30,57,'MSI'
'./RICKI-035T_S14_L001_sorted.res',49,43,87,'MSI'
'./RICKI-038T_S18_L001_sorted.res',51,49,96,'MSI'
'./RICKI-037T_S16_L001_sorted.res',42,23,54,'MSI'
'./RICKI-040T_S22_L001_sorted.res',26,24,92,'MSI'
'./RICKI-039T_S20_L001_sorted.res',49,33,67,'MSI'
'./RICKI-041T_S25_L001_sorted.res',48,46,95,'MSI'
'./RICKI-042T_S27_L001_sorted.res',50,48,96,'MSI'
'./RICKI-043T_S29_L001_sorted.res',48,41,85,'MSI'
'./RICKI-044T_S31_L001_sorted.res',50,46,92,'MSI'
'./RICKI-046T_S35_L001_sorted.res',46,29,63,'MSI'
'./RICKI-048T_S37_L001_sorted.res',42,36,85,'MSI'
'./RICKI-045T_S33_L001_sorted.res',38,31,81,'MSI'
'./RICKI-050T_S41_L001_sorted.res',52,49,94,'MSI'
'./RICKI-049T_S39_L001_sorted.res',45,39,86,'MSI'
'./RICKI-053T_S46_L001_sorted.res',43,41,95,'MSI'
'./RICKI-054T_S48_L001_sorted.res',43,39,90,'MSI'
'./RICKI-051T_S43_L001_sorted.res',53,34,64,'MSI'
'./RICKI-055T_S50_L001_sorted.res',43,40,93,'MSI'
'./RICKI-058T_S2_L001_sorted.res',49,6,12,'MSS'
'./RICKI-059T_S4_L001_sorted.res',53,51,96,'MSI'
'./RICKI-060T_S6_L001_sorted.res',45,40,88,'MSI'
'./RICKI-062T_S10_L001_sorted.res',52,51,98,'MSI'
'./RICKI-061T_S8_L001_sorted.res',46,37,80,'MSI'
'./RICKI-064T_S14_L001_sorted.res',48,38,79,'MSI'
'./RICKI-065T_S16_L001_sorted.res',48,48,100,'MSI'
'./RICKI-067T_S20_L001_sorted.res',52,39,75,'MSI'
'./RICKI-066T_S18_L001_sorted.res',43,43,100,'MSI'
'./RICKI-070T_S26_L001_sorted.res',53,52,98,'MSI'
'./RICKI-069T_S24_L001_sorted.res',51,0,0,'MSS'
'./RICKI-071T_S28_L001_sorted.res',52,48,92,'MSI'
'./RICKI-072T_S30_L001_sorted.res',47,16,34,'MSI'
'./RICKI-074T_S34_L001_sorted.res',46,44,95,'MSI'
'./RICKI-075T_S36_L001_sorted.res',49,48,97,'MSI'
'./RICKI-076T_S38_L001_sorted.res',49,44,89,'MSI'
'./RICKI-077T_S40_L001_sorted.res',46,41,89,'MSI'
'./RICKI-073T_S32_L001_sorted.res',47,47,100,'MSI'
'./RICKI-078T_S42_L001_sorted.res',51,46,90,'MSI'
'./RICKI-079T_S44_L001_sorted.res',54,52,96,'MSI'
'./RICKI-080T_S46_L001_sorted.res',47,42,89,'MSI'
'./RICKI-082T_S50_L001_sorted.res',48,46,95,'MSI'
'./RICKI-083T_S52_L001_sorted.res',52,51,98,'MSI'
'./RICKI-081T_S48_L001_sorted.res',52,45,86,'MSI'
'./RICKI-084T_S54_L001_sorted.res',44,38,86,'MSI'
